#    Tpb[ms]      Tbh[ms]      Dh+[cm]
 -9.20772E+00 -1.85797E+02  3.66481E+00
 -8.20605E+00 -1.84796E+02  3.89228E+00
 -7.20438E+00 -1.83794E+02  4.24755E+00
 -6.20271E+00 -1.82792E+02  4.62866E+00
 -5.55529E+00 -1.82145E+02  4.93753E+00
 -5.35526E+00 -1.81945E+02  4.20385E+00
 -5.15523E+00 -1.81745E+02  6.46436E+00
 -4.95520E+00 -1.81545E+02  4.99829E+00
 -4.75517E+00 -1.81345E+02  5.19273E+00
 -4.55514E+00 -1.81145E+02  5.35784E+00
 -4.35511E+00 -1.80945E+02  5.02987E+00
 -4.15509E+00 -1.80745E+02  5.40760E+00
 -3.95506E+00 -1.80545E+02  5.44585E+00
 -3.75503E+00 -1.80345E+02  5.41230E+00
 -3.55500E+00 -1.80144E+02  5.37535E+00
 -3.35497E+00 -1.79944E+02  5.58185E+00
 -3.15494E+00 -1.79744E+02  5.69883E+00
 -2.95492E+00 -1.79544E+02  5.56207E+00
 -2.75489E+00 -1.79344E+02  5.40616E+00
 -2.55486E+00 -1.79144E+02  5.44250E+00
 -2.35483E+00 -1.78944E+02  5.58975E+00
 -2.15480E+00 -1.78744E+02  6.07155E+00
 -1.95477E+00 -1.78544E+02  5.66123E+00
 -1.75474E+00 -1.78344E+02  5.62345E+00
 -1.55472E+00 -1.78144E+02  5.57722E+00
 -1.35469E+00 -1.77944E+02  5.91976E+00
 -1.15466E+00 -1.77744E+02  5.49768E+00
 -9.54630E-01 -1.77544E+02  5.41301E+00
 -7.54601E-01 -1.77344E+02  5.53943E+00
 -5.54573E-01 -1.77144E+02  4.19459E+00
 -3.54544E-01 -1.76944E+02  3.16975E+00
 -1.54500E-01 -1.76744E+02  1.63259E+00
  4.56172E-02 -1.76544E+02 -2.69305E+00
  2.45646E-01 -1.76344E+02 -1.46843E+01
  4.45674E-01 -1.76144E+02 -1.63777E+01
  6.45703E-01 -1.75944E+02 -4.37319E+00
  8.45731E-01 -1.75744E+02 -1.43718E+00
  1.04576E+00 -1.75544E+02 -3.60372E+00
  1.24579E+00 -1.75344E+02 -4.39530E+00
  1.44582E+00 -1.75144E+02 -3.87261E+00
  1.64585E+00 -1.74944E+02 -2.20631E+00
  1.84587E+00 -1.74744E+02  1.65313E+00
  2.04590E+00 -1.74544E+02 -4.94757E+00
  2.24593E+00 -1.74344E+02 -4.38532E+00
  2.44596E+00 -1.74144E+02 -6.76155E+00
  2.64599E+00 -1.73944E+02 -3.38441E+00
  2.84602E+00 -1.73743E+02  2.69989E+00
  3.04605E+00 -1.73543E+02  3.76179E+00
  3.24607E+00 -1.73343E+02  1.24384E+00
  3.44610E+00 -1.73143E+02  1.17645E+00
  3.64613E+00 -1.72943E+02  2.87477E-01
  3.84616E+00 -1.72743E+02 -1.57808E+00
  4.04619E+00 -1.72543E+02 -2.29522E+00
  4.24622E+00 -1.72343E+02 -4.03080E+00
  4.44624E+00 -1.72143E+02 -8.29977E+00
  4.64627E+00 -1.71943E+02 -3.25071E+00
  4.84630E+00 -1.71743E+02  5.47596E+00
  5.04633E+00 -1.71543E+02  2.92568E+00
  5.24636E+00 -1.71343E+02  2.31544E+00
  5.44639E+00 -1.71143E+02  2.97528E+00
  5.64642E+00 -1.70943E+02  1.54530E+00
  5.84644E+00 -1.70743E+02  3.77341E+00
  6.04647E+00 -1.70543E+02  2.90162E+00
  6.24650E+00 -1.70343E+02  4.58535E+00
  6.44653E+00 -1.70143E+02  6.93354E+00
  6.64656E+00 -1.69943E+02  6.51789E+00
  6.84659E+00 -1.69743E+02  7.18002E+00
  7.04662E+00 -1.69543E+02  4.76979E+00
  7.24664E+00 -1.69343E+02 -4.19665E+00
  7.44667E+00 -1.69143E+02 -1.32440E+01
  7.64670E+00 -1.68943E+02 -2.14765E+01
  7.84673E+00 -1.68743E+02 -3.02445E+01
  8.04676E+00 -1.68543E+02 -3.45199E+01
  8.24679E+00 -1.68343E+02 -3.57177E+01
  8.44682E+00 -1.68143E+02 -3.21867E+01
  8.64684E+00 -1.67943E+02 -2.30297E+01
  8.84687E+00 -1.67743E+02 -1.24454E+01
  9.04690E+00 -1.67543E+02  3.71328E+00
  9.24693E+00 -1.67343E+02  1.36783E+01
  9.44696E+00 -1.67143E+02  2.07705E+01
  9.64699E+00 -1.66943E+02  2.13745E+01
  9.84702E+00 -1.66742E+02  1.99076E+01
  1.00470E+01 -1.66542E+02  1.83151E+01
  1.02471E+01 -1.66342E+02  1.78130E+01
  1.04471E+01 -1.66142E+02  1.31130E+01
  1.06471E+01 -1.65942E+02  1.28602E+01
  1.08472E+01 -1.65742E+02  1.73354E+01
  1.10472E+01 -1.65542E+02  2.06642E+01
  1.12472E+01 -1.65342E+02  1.86293E+01
  1.14472E+01 -1.65142E+02  7.16639E+00
  1.16473E+01 -1.64942E+02 -7.66501E+00
  1.18473E+01 -1.64742E+02 -1.88421E+01
  1.20473E+01 -1.64542E+02 -2.80462E+01
  1.22474E+01 -1.64342E+02 -3.50959E+01
  1.24474E+01 -1.64142E+02 -3.79443E+01
  1.26474E+01 -1.63942E+02 -3.81181E+01
  1.28474E+01 -1.63742E+02 -3.64586E+01
  1.30475E+01 -1.63542E+02 -3.32499E+01
  1.32475E+01 -1.63342E+02 -2.68379E+01
  1.34475E+01 -1.63142E+02 -1.81442E+01
  1.36476E+01 -1.62942E+02 -1.25789E+01
  1.38476E+01 -1.62742E+02 -7.57776E+00
  1.40476E+01 -1.62542E+02 -2.87566E+00
  1.42476E+01 -1.62342E+02  3.59489E+00
  1.44477E+01 -1.62142E+02  9.01129E+00
  1.46477E+01 -1.61942E+02  7.57829E+00
  1.48477E+01 -1.61742E+02  7.36705E+00
  1.50478E+01 -1.61542E+02  9.88390E+00
  1.52478E+01 -1.61342E+02  1.61908E+01
  1.54478E+01 -1.61142E+02  1.79333E+01
  1.56478E+01 -1.60942E+02  1.62238E+01
  1.58479E+01 -1.60742E+02  1.35051E+01
  1.60479E+01 -1.60542E+02  1.48511E+01
  1.62479E+01 -1.60342E+02  1.75903E+01
  1.64480E+01 -1.60142E+02  1.84208E+01
  1.66480E+01 -1.59942E+02  2.28730E+01
  1.68480E+01 -1.59741E+02  2.50706E+01
  1.70480E+01 -1.59541E+02  2.25417E+01
  1.72481E+01 -1.59341E+02  1.98929E+01
  1.74481E+01 -1.59141E+02  1.60912E+01
  1.76481E+01 -1.58941E+02  9.79223E+00
  1.78482E+01 -1.58741E+02  1.42263E+00
  1.80482E+01 -1.58541E+02 -5.33808E+00
  1.82482E+01 -1.58341E+02 -1.10622E+01
  1.84482E+01 -1.58141E+02 -1.77826E+01
  1.86483E+01 -1.57941E+02 -2.41485E+01
  1.88483E+01 -1.57741E+02 -2.63722E+01
  1.90483E+01 -1.57541E+02 -2.76904E+01
  1.92484E+01 -1.57341E+02 -2.61418E+01
  1.94484E+01 -1.57141E+02 -2.27163E+01
  1.96484E+01 -1.56941E+02 -1.80158E+01
  1.98484E+01 -1.56741E+02 -1.17161E+01
  2.00485E+01 -1.56541E+02 -5.84843E+00
  2.02485E+01 -1.56341E+02 -8.15935E-01
  2.04485E+01 -1.56141E+02  3.47911E+00
  2.06486E+01 -1.55941E+02  5.06773E+00
  2.08486E+01 -1.55741E+02  5.30417E+00
  2.10486E+01 -1.55541E+02  4.39316E+00
  2.12486E+01 -1.55341E+02  3.04323E+00
  2.14487E+01 -1.55141E+02  1.10018E+00
  2.16487E+01 -1.54941E+02  3.43039E-01
  2.18487E+01 -1.54741E+02 -2.54378E+00
  2.20488E+01 -1.54541E+02 -6.38137E+00
  2.22488E+01 -1.54341E+02 -8.23598E+00
  2.24488E+01 -1.54141E+02 -6.94440E+00
  2.26488E+01 -1.53941E+02 -6.72736E+00
  2.28489E+01 -1.53741E+02 -7.55642E+00
  2.30489E+01 -1.53541E+02 -7.64185E+00
  2.32489E+01 -1.53341E+02 -6.67169E+00
  2.34490E+01 -1.53141E+02 -4.50702E+00
  2.36490E+01 -1.52941E+02 -3.30562E+00
  2.38490E+01 -1.52740E+02 -2.22921E+00
  2.40490E+01 -1.52540E+02 -4.83426E+00
  2.42491E+01 -1.52340E+02 -3.56493E+00
  2.44491E+01 -1.52140E+02 -3.24382E+00
  2.46491E+01 -1.51940E+02 -3.00806E+00
  2.48492E+01 -1.51740E+02 -3.70496E+00
  2.50492E+01 -1.51540E+02 -9.36147E+00
